iter	Passed	Remaining
749	12621	4207
750	12634	4189
751	12649	4171
752	12666	4154
753	12680	4137
754	12701	4121
755	12719	4105
756	12732	4087
757	12749	4070
758	12764	4053
759	12779	4035
760	12795	4018
761	12815	4002
762	12832	3985
763	12848	3968
764	12863	3951
765	12879	3934
766	12896	3917
767	12918	3902
768	12939	3886
769	12958	3870
770	12970	3852
771	12990	3836
772	13009	3820
773	13023	3802
774	13036	3784
775	13050	3767
776	13075	3752
777	13090	3735
778	13107	3718
779	13122	3701
780	13135	3683
781	13152	3666
782	13164	3648
783	13180	3631
784	13208	3617
785	13225	3600
786	13240	3583
787	13257	3566
788	13271	3549
789	13295	3534
790	13314	3517
791	13333	3501
792	13346	3483
793	13362	3466
794	13374	3448
795	13387	3431
796	13405	3414
797	13424	3398
798	13440	3381
799	13457	3364
800	13469	3346
801	13482	3328
802	13498	3311
803	13512	3294
804	13529	3277
805	13551	3261
806	13569	3245
807	13586	3228
808	13608	3212
809	13627	3196
810	13644	3179
811	13667	3164
812	13682	3147
813	13701	3130
814	13714	3113
815	13736	3097
816	13754	3080
817	13768	3063
818	13787	3047
819	13805	3030
820	13819	3013
821	13832	2995
822	13850	2978
823	13862	2960
824	13878	2943
825	13898	2927
826	13911	2910
827	13924	2892
828	13939	2875
829	13954	2858
830	13968	2840
831	13982	2823
832	13996	2806
833	14009	2788
834	14028	2772
835	14041	2754
836	14055	2737
837	14067	2719
838	14084	2702
839	14098	2685
840	14121	2669
841	14144	2654
842	14160	2637
843	14179	2620
844	14212	2607
845	14230	2590
846	14246	2573
847	14261	2556
848	14278	2539
849	14293	2522
850	14304	2504
851	14317	2486
852	14334	2470
853	14349	2453
854	14365	2436
855	14383	2419
856	14404	2403
857	14418	2386
858	14432	2368
859	14448	2352
860	14462	2334
861	14479	2318
862	14498	2301
863	14518	2285
864	14536	2268
865	14552	2251
866	14564	2234
867	14580	2217
868	14600	2200
869	14612	2183
870	14628	2166
871	14643	2149
872	14657	2132
873	14672	2115
874	14688	2098
875	14701	2081
876	14711	2063
877	14726	2046
878	14742	2029
879	14756	2012
880	14769	1995
881	14785	1978
882	14800	1961
883	14811	1943
884	14827	1926
885	14842	1909
886	14856	1892
887	14871	1875
888	14889	1859
889	14901	1841
890	14915	1824
891	14934	1808
892	14950	1791
893	14968	1774
894	14984	1757
895	14998	1740
896	15009	1723
897	15025	1706
898	15042	1689
899	15058	1673
900	15073	1656
901	15099	1640
902	15113	1623
903	15129	1606
904	15145	1589
905	15165	1573
906	15183	1556
907	15198	1539
908	15214	1523
909	15238	1507
910	15252	1490
911	15269	1473
912	15286	1456
913	15301	1439
914	15315	1422
915	15336	1406
916	15351	1389
917	15367	1372
918	15389	1356
919	15406	1339
920	15420	1322
921	15437	1305
922	15455	1289
923	15481	1273
924	15495	1256
925	15509	1239
926	15529	1222
927	15547	1206
928	15566	1189
929	15586	1173
930	15600	1156
931	15616	1139
932	15631	1122
933	15644	1105
934	15655	1088
935	15692	1073
936	15711	1056
937	15728	1039
938	15739	1022
939	15757	1005
940	15776	989
941	15788	972
942	15803	955
943	15824	938
944	15837	921
945	15851	904
946	15868	888
947	15883	871
948	15896	854
949	15910	837
950	15930	820
951	15947	804
952	15963	787
953	15980	770
954	15994	753
955	16011	736
956	16025	720
957	16044	703
958	16065	686
959	16078	669
960	16092	653
961	16111	636
962	16131	619
963	16146	602
964	16164	586
965	16181	569
966	16197	552
967	16213	535
968	16234	519
969	16247	502
970	16268	485
971	16291	469
972	16313	452
973	16329	435
974	16343	419
975	16359	402
976	16381	385
977	16396	368
978	16423	352
979	16437	335
980	16453	318
981	16472	301
982	16484	285
983	16501	268
984	16520	251
985	16537	234
986	16553	218
987	16569	201
988	16581	184
989	16593	167
990	16608	150
991	16623	134
992	16641	117
993	16660	100
994	16674	83
995	16688	67
996	16703	50
997	16720	33
998	16733	16
999	16749	0
