iter	Accuracy	MultiClass
459	0.9920886076	0.1725211191
460	0.9920886076	0.1723298875
461	0.9920886076	0.1719191976
462	0.9920886076	0.1716846918
463	0.9920886076	0.1712945192
464	0.9920886076	0.1709728734
465	0.9920886076	0.1707232192
466	0.9920886076	0.170298144
467	0.9920886076	0.1700051427
468	0.9920886076	0.1692624944
469	0.9920886076	0.1689759024
470	0.9920886076	0.1688917819
471	0.9920886076	0.1685524768
472	0.9920886076	0.1683814998
473	0.9920886076	0.1680930287
474	0.9920886076	0.1677192241
475	0.9920886076	0.1671398694
476	0.9920886076	0.166780754
477	0.9920886076	0.1666063317
478	0.9920886076	0.1662755984
479	0.9920886076	0.1660029371
480	0.9936708861	0.1654702741
481	0.9936708861	0.1651995805
482	0.9936708861	0.1650155284
483	0.9936708861	0.1645122066
484	0.9936708861	0.1643909903
485	0.9936708861	0.1642589048
486	0.9936708861	0.1640196691
487	0.9936708861	0.1637680055
488	0.9936708861	0.1633398533
489	0.9936708861	0.1629304503
490	0.9936708861	0.1626010868
491	0.9936708861	0.1621173999
492	0.9936708861	0.1619188822
493	0.9936708861	0.1616205199
494	0.9936708861	0.1611797973
495	0.9936708861	0.1607999483
496	0.9936708861	0.1603953131
497	0.9936708861	0.1599716513
498	0.9936708861	0.1596571154
499	0.9936708861	0.1595559223
500	0.9936708861	0.1592590776
501	0.9936708861	0.1589379213
502	0.9936708861	0.1585810463
503	0.9936708861	0.1582117188
504	0.9936708861	0.1579089681
505	0.9936708861	0.1575740084
506	0.9936708861	0.1574414145
507	0.9936708861	0.1572105198
508	0.9936708861	0.1570563959
509	0.9936708861	0.1568266464
510	0.9936708861	0.1567729696
511	0.9936708861	0.1566045868
512	0.9936708861	0.156267546
513	0.9936708861	0.1561953636
514	0.9936708861	0.1559204411
515	0.9936708861	0.1555153654
516	0.9936708861	0.1551789388
517	0.9936708861	0.1547863488
518	0.9936708861	0.1544991869
519	0.9936708861	0.1541429667
520	0.9936708861	0.1538833388
521	0.9936708861	0.1536958368
522	0.9936708861	0.1536082933
523	0.9936708861	0.153124093
524	0.9936708861	0.1530357403
525	0.9936708861	0.1525767568
526	0.9936708861	0.1525124128
527	0.9936708861	0.1522324633
528	0.9936708861	0.1521080998
529	0.9936708861	0.1518862964
530	0.9936708861	0.1517121784
531	0.9936708861	0.1511292656
532	0.9936708861	0.1508525241
533	0.9936708861	0.1504723528
534	0.9936708861	0.1501328052
535	0.9936708861	0.149857917
536	0.9936708861	0.1496556895
537	0.9936708861	0.149556753
538	0.9936708861	0.1492153145
539	0.9936708861	0.1490400384
540	0.9936708861	0.1488429223
541	0.9936708861	0.1486136375
542	0.9936708861	0.1484825053
543	0.9936708861	0.1482156747
544	0.9936708861	0.1480793095
545	0.9952531646	0.1477276052
546	0.9936708861	0.1475853508
547	0.9936708861	0.1473122451
548	0.9952531646	0.1470111949
549	0.9952531646	0.1469587657
550	0.9952531646	0.1464967464
551	0.9952531646	0.1463300667
552	0.9952531646	0.1458536191
553	0.9952531646	0.1455081033
554	0.9952531646	0.1451172153
555	0.9952531646	0.1448892039
556	0.9952531646	0.1446904026
557	0.9952531646	0.1443099687
558	0.9952531646	0.1441426095
559	0.9952531646	0.1438990419
560	0.9952531646	0.1437187893
561	0.9952531646	0.1435452283
562	0.9952531646	0.1434056062
563	0.9952531646	0.1432866056
564	0.9952531646	0.1430594923
565	0.9952531646	0.1428510383
566	0.9952531646	0.1425416227
567	0.9952531646	0.1423743958
568	0.9952531646	0.1419515286
569	0.9952531646	0.1414343069
570	0.9952531646	0.1411261745
571	0.9952531646	0.1407890331
572	0.9952531646	0.1405950947
573	0.9952531646	0.1403891275
574	0.9952531646	0.1400519197
575	0.9952531646	0.1396544062
576	0.9952531646	0.1395849121
577	0.9952531646	0.139265746
578	0.9952531646	0.1391451907
579	0.9952531646	0.1386530036
580	0.9952531646	0.1384290339
581	0.9952531646	0.1383650919
582	0.9952531646	0.138097951
583	0.9952531646	0.1377015554
584	0.9952531646	0.1374972188
585	0.9952531646	0.1371770593
586	0.9952531646	0.1369999483
587	0.9952531646	0.1366752306
588	0.9952531646	0.1365757058
589	0.9952531646	0.1363940608
590	0.9952531646	0.1361868858
591	0.9952531646	0.135966923
592	0.9952531646	0.1357302385
593	0.9952531646	0.1355805709
594	0.9952531646	0.1351284297
595	0.9952531646	0.1347764235
596	0.9952531646	0.1346070113
597	0.9952531646	0.1344112029
598	0.9952531646	0.1343308873
599	0.9952531646	0.134221671
600	0.9952531646	0.1341594848
601	0.9952531646	0.1340663036
602	0.9952531646	0.1339246748
603	0.9952531646	0.1337712723
604	0.9952531646	0.1336925967
605	0.9952531646	0.1335542205
606	0.9952531646	0.1332948849
607	0.9952531646	0.1331925723
608	0.9952531646	0.1328928636
609	0.9952531646	0.1328312605
610	0.9952531646	0.1324945213
611	0.9952531646	0.1323394747
612	0.9952531646	0.1321476385
613	0.9952531646	0.1319926704
614	0.9952531646	0.131811947
615	0.9952531646	0.1315534054
616	0.9952531646	0.1311507608
617	0.9952531646	0.1307791601
618	0.9952531646	0.1306547489
619	0.9952531646	0.1304850882
620	0.9952531646	0.1302922342
621	0.9952531646	0.1300593328
622	0.9952531646	0.1297228406
623	0.9952531646	0.129658803
624	0.9952531646	0.1293784774
625	0.9952531646	0.1292281654
626	0.9952531646	0.1291324134
627	0.9952531646	0.1289409069
628	0.9952531646	0.1288505187
629	0.9952531646	0.1286997108
630	0.9952531646	0.1285200177
631	0.9952531646	0.1282753124
632	0.9952531646	0.1281082767
633	0.9952531646	0.1279685549
634	0.9952531646	0.1279215319
635	0.9952531646	0.1278242451
636	0.9952531646	0.1275687132
637	0.9952531646	0.127466991
